利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額,3月支払金額,4月繰越残高,新規サイン
2018/02/27,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/26,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/26,ｽｰﾊﾟｰﾏｰｹｯﾄ,本人,1回払い,452,0,452,452,0,*
2018/02/23,コンビニエンスストア,本人,1回払い,540,0,540,540,0,*
2018/02/22,ECサイト,本人,1回払い,398,0,398,398,0,*
2018/02/21,ｽｰﾊﾟｰﾏｰｹｯﾄ,本人,1回払い,1680,0,1680,1680,0,*
2018/02/21,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/20,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/20,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/19,ｽｲﾄﾞｳﾘﾖｳｷﾝ,本人,1回払い,4147,0,4147,4147,0,*
2018/02/19,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/17,灯油,本人,1回払い,1638,0,1638,1638,0,*
2018/02/17,ﾃﾞﾝｷ,本人,1回払い,1785,0,1785,1785,0,*
2018/02/14,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/14,ｽｰﾊﾟｰﾏｰｹｯﾄ,本人,1回払い,418,0,418,418,0,*
2018/02/12,ｽｰﾊﾟｰﾏｰｹｯﾄ,本人,1回払い,1198,0,1198,1198,0,*
2018/02/12,コンビニエンスストア,本人,1回払い,356,0,356,356,0,*
2018/02/09,ブックオフオンライン,本人,1回払い,1534,0,1534,1534,0,*
2018/02/09,ｽｰﾊﾟｰﾏｰｹｯﾄ,本人,1回払い,203,0,203,203,0,*
2018/02/08,ECサイト,本人,1回払い,2874,0,2874,2874,0,*
2018/02/07,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/06,コンビニエンスストア,本人,1回払い,268,0,268,268,0,*
2018/02/06,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/05,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
2018/02/05,ｽｰﾊﾟｰﾏｰｹｯﾄ,本人,1回払い,845,0,845,845,0,*
2018/02/03,灯油,本人,1回払い,1638,0,1638,1638,0,*
2018/02/01,ｽｰﾊﾟｰﾏｰｹｯﾄ,本人,1回払い,448,0,448,448,0,*
2018/02/01,コンビニエンスストア,本人,1回払い,248,0,248,248,0,*
